date,tweets,cases,sentiment_pos,sentiment_neg,sentiment_neut,sentiment_us,cases_daily,tweets_daily
1/22/20,5070,1,0.5956607495069034,0.178698224852071,0.22564102564102564,0.4169625246548324,1,5070
1/23/20,29788,1,0.43862772068937617,0.2436685816004531,0.3177036977101707,0.19495913908892307,0,24718
1/24/20,104594,2,0.45389407266796783,0.20141432505414003,0.34469160227789214,0.2524797476138278,1,74806
1/25/20,189463,2,0.4243363301087558,0.21782983185851135,0.3578338380327328,0.20650649825024447,0,84869
1/26/20,297655,5,0.42741607512570245,0.22436963916001182,0.3482142857142857,0.20304643596569064,3,108192
1/27/20,399158,5,0.44835128025772636,0.23523442656867286,0.31641429317360076,0.2131168536890535,0,101503
1/28/20,503996,5,0.38530876209008186,0.26153684732635113,0.353154390583567,0.12377191476373073,0,104838
1/29/20,682275,5,0.3591056714475625,0.2810258078629564,0.3598685206894811,0.07807986358460611,0,178279
1/30/20,879176,5,0.38262375508504276,0.26626070969675114,0.3511155352182061,0.11636304538829162,0,196901
1/31/20,1061754,7,0.3914381798464218,0.2823286485775942,0.32623317157598397,0.10910953126882761,2,182578
2/01/20,1120017,8,0.3728095017421005,0.23982630485900142,0.3873641933988981,0.13298319688309906,1,58263
2/02/20,1225177,8,0.40410802586534805,0.2111639406618486,0.3847280334728033,0.19294408520349945,0,105160
2/03/20,1331975,11,0.38776943388452967,0.21032229067960073,0.4019082754358696,0.17744714320492894,3,106798
2/04/20,1425755,11,0.38114736617615697,0.22924930688846235,0.3896033269353807,0.15189805928769462,0,93780
2/05/20,1543147,11,0.3996183726318659,0.22618236336377265,0.37419926400436143,0.17343600926809324,0,117392
2/06/20,1630998,11,0.3528246690419005,0.2660982800423444,0.3810770509157551,0.08672638899955609,0,87851
2/07/20,1791374,11,0.3847832593405497,0.21857385144909464,0.3966428892103557,0.16620940789145505,0,160376
2/08/20,1891410,11,0.3812227598064697,0.26251549442200806,0.35626174577152225,0.11870726538446164,0,100036
2/09/20,2029934,11,0.33380497242355117,0.28939389564263235,0.37680113193381654,0.04441107678091882,0,138524
2/10/20,2205620,11,0.33191034003847775,0.2941042541807543,0.37398540578076794,0.03780608585772344,0,175686
2/11/20,2372125,12,0.34957508783520014,0.31578030689769077,0.3346446052671091,0.03379478093750937,1,166505
2/12/20,2528807,12,0.4193844857737328,0.23608327695587242,0.34453223727039484,0.18330120881786036,0,156682
2/13/20,2661753,13,0.41790651843605675,0.22457238277195252,0.35752109879199073,0.19333413566410423,1,132946
2/14/20,2754229,13,0.3506855832864743,0.2466477788831697,0.402666637830356,0.10403780440330462,0,92476
2/15/20,2877523,13,0.3657436696027382,0.23448018557269615,0.3997761448245657,0.13126348403004204,0,123294
2/16/20,2973001,13,0.35947548126269924,0.274775340916232,0.36574917782106875,0.08470014034646722,0,95478
2/17/20,3141665,13,0.38973343452070386,0.2430156998529621,0.367250865626334,0.14671773466774177,0,168664
2/18/20,3239993,13,0.3525750549182329,0.3031994955658612,0.34422544951590595,0.0493755593523717,0,98328
2/19/20,3391041,13,0.3740003177797786,0.29051692177321115,0.3354827604470102,0.08348339600656746,0,151048
2/20/20,3504450,13,0.4250809018684584,0.2068795245527251,0.3680395735788165,0.21820137731573333,0,113409
2/21/20,3658804,15,0.42149863301242596,0.19229822356401519,0.3862031434235588,0.22920040944841077,2,154354
2/22/20,3727729,15,0.38568008705114254,0.19403699673558217,0.4202829162132753,0.19164309031556037,0,68925
2/24/20,3851639,15,0.3701718989589218,0.2380598821725446,0.39176821886853364,0.13211201678637718,0,123910
2/25/20,3969748,15,0.38344241336392654,0.262113810124546,0.3544437765115275,0.12132860323938055,0,118109
2/26/20,4191936,15,0.37606891461285036,0.27180585810214775,0.3521252272850019,0.10426305651070261,0,222188
2/27/20,4462109,16,0.3505568654158632,0.2902288533643258,0.359214281219811,0.06032801205153737,1,270173
2/28/20,5103277,16,0.39678212262620716,0.3009632420831982,0.30225463529059465,0.09581888054300897,0,641168
2/29/20,6132649,24,0.4214540515965074,0.29148160237504034,0.2870643460284523,0.12997244922146706,8,1029372
3/01/20,6486378,30,0.46698743953704674,0.26019071096800095,0.27282184949495236,0.2067967285690458,6,353729
3/02/20,6575604,53,0.44373837222334295,0.2393808979445453,0.31688072983211174,0.20435747427879764,23,89226
3/03/20,6970782,73,0.45050584799761123,0.24733411272894745,0.3021600392734413,0.20317173526866378,20,395178
3/04/20,7345866,104,0.38640144607607896,0.2671348284650905,0.34646372545883053,0.11926661761098845,31,375084
3/05/20,7428800,172,0.3589963103190489,0.2598331203125377,0.3811705693684134,0.09916319000651119,68,82934
3/06/20,7545703,217,0.3886641061392779,0.2683849003019597,0.3429509935587624,0.12027920583731816,45,116903
3/07/20,7660453,336,0.4077995642701525,0.2888104575163399,0.3033899782135076,0.11898910675381263,119,114750
3/08/20,7765907,450,0.4041477800747245,0.26485481821457696,0.3309974017106985,0.13929296186014756,114,105454
3/09/20,7849529,514,0.3800794049412834,0.27697256702781564,0.34294802803090096,0.10310683791346775,64,83622
3/10/20,7913275,708,0.40959432748721486,0.24348194396511152,0.34692372854767356,0.16611238352210334,194,63746
3/11/20,8011236,1105,0.37727258807076286,0.2432396565980339,0.3794877553312032,0.13403293147272896,397,97961
3/12/20,8081992,1557,0.40236870371417266,0.2394708575951156,0.35816043869071174,0.16289784611905705,452,70756
3/13/20,8180677,2147,0.3971322896083498,0.2534123727010184,0.3494553376906318,0.14371991690733138,590,98685
3/14/20,8264723,2857,0.38864431382814174,0.24572258049163553,0.3656331056802227,0.1429217333365062,710,84046
3/15/20,8333665,2918,0.4279249223985379,0.25293725160279656,0.3191378259986655,0.17498767079574135,61,68942
3/16/20,8418660,4307,0.42014236131537147,0.24233190187658096,0.33752573680804754,0.1778104594387905,1389,84995
3/17/20,8505408,6096,0.39297735970858116,0.2595103057131,0.3475123345783188,0.13346705399548114,1789,86748
3/18/20,8577648,8873,0.40553709856035436,0.25024916943521597,0.3442137320044297,0.1552879291251384,2777,72240
3/19/20,8650100,14094,0.37577982664384696,0.2854165516479876,0.3388036217081654,0.09036327499585933,5221,72452
3/20/20,8760764,19403,0.4080730860984602,0.2575092170895684,0.33441769681197137,0.1505638690088918,5309,110664
3/21/20,8833073,25725,0.4170711806275844,0.24909762270256813,0.33383119666984745,0.16797355792501628,6322,72309
3/22/20,8907039,33634,0.3943703863937485,0.2604034286023308,0.3452261850039207,0.1339669577914177,7909,73966
3/23/20,8983667,43663,0.3968523255206974,0.27533016651876596,0.3278175079605366,0.12152215900193142,10029,76628
3/24/20,9068545,53736,0.4115789721718231,0.2621998633332548,0.3262211644949221,0.1493791088385683,10073,84878
3/25/20,9171865,65778,0.42338366240805264,0.2393050716221448,0.33731126596980254,0.18407859078590785,12042,103320
3/26/20,9250402,83836,0.41805773075111097,0.24025618498287432,0.34168608426601477,0.17780154576823665,18058,78537
3/27/20,9331721,101657,0.41692593366863834,0.24727308501088308,0.3358009813204786,0.16965284865775526,17821,81319
3/28/20,9414189,121465,0.4284328466799243,0.2540379298637047,0.31752922345637097,0.1743949168162196,19808,82468
3/29/20,9518121,140909,0.4224204287418697,0.25230920217065006,0.32527036908748025,0.17011122657121963,19444,103932
3/30/20,9629617,161831,0.4101223362273086,0.2665297409772548,0.3233479227954366,0.1435925952500538,20922,111496
3/31/20,9733078,188172,0.40809580421608144,0.2573820086795991,0.3345221871043195,0.15071379553648234,26341,103461
4/01/20,9862234,213242,0.39110842701848925,0.25830778283626005,0.3505837901452507,0.1328006441822292,25070,129156
4/02/20,9985926,243622,0.39085793745755587,0.25685573844711057,0.35228632409533356,0.1340021990104453,30380,123692
4/03/20,10101789,275367,0.3965027661980097,0.251098279865013,0.3523989539369773,0.14540448633299674,31745,115863
4/04/20,10221363,308650,0.3963905196781909,0.252019669827889,0.3515898104939201,0.1443708498503019,33283,119574
4/05/20,10338033,336802,0.4027427787777492,0.26095825833547615,0.3362989628867747,0.14178452044227308,28152,116670
4/06/20,10458544,366317,0.4136717809992449,0.24403581415804365,0.34229240484271145,0.16963596684120125,29515,120511
4/07/20,10588890,397121,0.4229665659091955,0.24376659045923926,0.3332668436315652,0.17919997544995625,30804,130346
4/08/20,10714251,428654,0.41673247660755736,0.2429623248059604,0.3403051985864822,0.17377015180159697,31533,125361
4/09/20,10833548,462780,0.43507380738828305,0.22935195352775006,0.3355742390839669,0.205721853860533,34126,119297
4/10/20,10946754,496535,0.43650513223680726,0.22754977651361236,0.3359450912495804,0.2089553557231949,33755,113206
4/11/20,11052472,526396,0.4138935659017386,0.23896592822414348,0.34714050587411793,0.17492763767759512,29861,105718
4/12/20,11150165,555313,0.4027105319726081,0.25808399782993663,0.3392054701974553,0.14462653414267146,28917,97693
4/13/20,11258003,580619,0.3997941356479163,0.25298132383760824,0.34722454051447543,0.14681281181030809,25306,107838
4/14/20,11368530,607670,0.4029965528784822,0.2562903182027921,0.34071312891872574,0.1467062346756901,27051,110527
4/15/20,11483637,636350,0.3926607417446376,0.26442353636181987,0.3429157218935425,0.12823720538281774,28680,115107
4/16/20,11601714,667592,0.41410266182237015,0.24891384435580172,0.33698349382182813,0.16518881746656844,31242,118077
4/17/20,11696710,699706,0.410112004715988,0.2476314792201777,0.3422565160638343,0.16248052549581032,32114,94996
4/18/20,11803450,727959,0.4113453250890013,0.2505995877833989,0.3380550871275998,0.16074573730560238,28253,106740
4/19/20,11914743,754376,0.4031610254014179,0.2676718212286487,0.3291671533699334,0.13548920417276922,26417,111293
4/20/20,12036379,779682,0.406121542964254,0.25905981781709364,0.33481863921865235,0.14706172514716037,25306,121636
4/21/20,12154141,807023,0.43868140826412594,0.2360863436422615,0.32523224809361256,0.20259506462186444,27341,117762
4/22/20,12278758,835150,0.4397714597526822,0.24308079956988213,0.3171477406774357,0.1966906601828001,28127,124617
4/23/20,12405864,869170,0.43243434613629567,0.25072773905244444,0.3168379148112599,0.18170660708385122,34020,127106
4/24/20,12522221,905358,0.430313603822718,0.23569703584657561,0.33398936033070636,0.19461656797614238,36188,116357
4/25/20,12637084,938154,0.39763892637315756,0.2648111228158763,0.3375499508109661,0.13282780355728124,32796,114863
4/26/20,12744041,965785,0.402077470385295,0.27796217171386634,0.31996035790083865,0.12411529867142868,27631,106957
4/27/20,12852705,988197,0.41952256497091955,0.23676654641831701,0.34371088861076343,0.18275601855260254,22412,108664
4/28/20,12962179,1012582,0.40253393499826445,0.254233882017648,0.34323218298408753,0.14830005298061644,24385,109474
4/29/20,13074785,1039909,0.4103244942543026,0.2574196756833561,0.3322558300623413,0.1529048185709465,27327,112606
4/30/20,13175588,1069424,0.4216441970973086,0.2431177643522514,0.33523803855044,0.1785264327450572,29515,100803
5/01/20,13272241,1103461,0.4206387799654434,0.23706455050541628,0.34229666952914034,0.18357422946002713,34037,96653
5/02/20,13374216,1132539,0.41332679578328024,0.2525422897769061,0.3341309144398137,0.16078450600637412,29078,101975
5/03/20,13486117,1158040,0.4052778795542488,0.27462667893941967,0.3200954415063315,0.13065120061482915,25501,111901
5/04/20,13601803,1180375,0.40762062825233825,0.27336929274069466,0.31901007900696715,0.1342513355116436,22335,115686
5/05/20,13724102,1204351,0.4269781437297116,0.24701755533569367,0.3260043009345947,0.17996058839401793,23976,122299
5/06/20,13848764,1229331,0.4211548025861931,0.25708716369061946,0.3217580337231875,0.16406763889557363,24980,124662
5/07/20,13967566,1257023,0.43494217269069546,0.26021447450379626,0.30484335280550834,0.1747276981868992,27692,118802
5/08/20,14067296,1283929,0.43933620776095456,0.25168956181690566,0.3089742304221398,0.1876466459440489,26906,99730
